Date,Price,Fear_Greed
"9 Jun, 2019","7,635.0",62
"10 Jun, 2019","7,987.8",46
"11 Jun, 2019","7,888.0",61
"12 Jun, 2019","8,133.1",60
"13 Jun, 2019","8,219.0",63
"14 Jun, 2019","8,656.1",67
"15 Jun, 2019","8,812.5",75
"16 Jun, 2019","8,962.5",80
"17 Jun, 2019","9,318.8",84
"18 Jun, 2019","9,080.6",83
"19 Jun, 2019","9,255.4",82
"20 Jun, 2019","9,517.0",81
"21 Jun, 2019","10,179.3",84
"22 Jun, 2019","10,721.7",83
"23 Jun, 2019","10,897.1",84
"24 Jun, 2019","11,046.4",80
"25 Jun, 2019","11,809.9",87
"26 Jun, 2019","13,063.8",95
"27 Jun, 2019","11,287.8",92
"28 Jun, 2019","12,409.1",62
"29 Jun, 2019","11,906.5",74
"30 Jun, 2019","10,818.6",78
"1 Jul, 2019","10,616.6",65
"2 Jul, 2019","10,835.9",63
"3 Jul, 2019","11,900.8",79
"4 Jul, 2019","11,163.1",76
"5 Jul, 2019","10,970.2",67
"6 Jul, 2019","11,268.0",72
"7 Jul, 2019","11,415.9",67
"8 Jul, 2019","12,252.6",74
"9 Jul, 2019","12,541.5",84
"10 Jul, 2019","12,110.6",83
"11 Jul, 2019","11,342.3",62
"12 Jul, 2019","11,762.1",33
"13 Jul, 2019","11,364.9",65
"14 Jul, 2019","10,200.1",61
"15 Jul, 2019","10,845.9",16
"16 Jul, 2019","9,424.8",34
"17 Jul, 2019","9,723.2",19
"18 Jul, 2019","10,651.4",40
"19 Jul, 2019","10,571.5",42
"20 Jul, 2019","10,826.7",34
"21 Jul, 2019","10,714.4",42
"22 Jul, 2019","10,412.5",42
"23 Jul, 2019","9,888.7",40
"24 Jul, 2019","9,804.3",20
"25 Jul, 2019","9,945.3",42
"26 Jul, 2019","9,831.0",24
"27 Jul, 2019","9,492.1",47
"28 Jul, 2019","9,727.8",16
"29 Jul, 2019","9,580.9",19
"30 Jul, 2019","9,580.7",22
"31 Jul, 2019","10,082.0",31
"1 Aug, 2019","10,380.0",57
"2 Aug, 2019","10,520.1",61
"3 Aug, 2019","10,815.7",61
"4 Aug, 2019","10,934.6",62
"5 Aug, 2019","11,816.8",64
"6 Aug, 2019","11,480.9",66
"7 Aug, 2019","12,013.9",45
"8 Aug, 2019","12,191.6",61
"9 Aug, 2019","12,089.8",60
"10 Aug, 2019","11,314.5",59
"11 Aug, 2019","11,517.2",45
"12 Aug, 2019","11,394.2",48
"13 Aug, 2019","10,892.9",45
"14 Aug, 2019","10,049.4",11
"15 Aug, 2019","10,303.4",13
"16 Aug, 2019","10,335.6",31
"17 Aug, 2019","10,218.1",20
"18 Aug, 2019","10,312.7",14
"19 Aug, 2019","10,910.7",30
"20 Aug, 2019","10,752.6",39
"21 Aug, 2019","10,141.5",11
"22 Aug, 2019","10,105.0",5
"23 Aug, 2019","10,388.7",33
"24 Aug, 2019","10,131.0",39
"25 Aug, 2019","10,136.3",33
"26 Aug, 2019","10,371.8",41
"27 Aug, 2019","10,184.8",30
"28 Aug, 2019","9,729.4",32
"29 Aug, 2019","9,491.0",20
"30 Aug, 2019","9,585.4",24
"31 Aug, 2019","9,594.4",20
"1 Sep, 2019","9,729.3",24
"2 Sep, 2019","10,348.8",28
"3 Sep, 2019","10,612.3",41
"4 Sep, 2019","10,568.2",43
"5 Sep, 2019","10,566.9",41
"6 Sep, 2019","10,309.3",43
"7 Sep, 2019","10,461.1",39
"8 Sep, 2019","10,402.8",43
"9 Sep, 2019","10,309.0",41
"10 Sep, 2019","10,105.4",41
"11 Sep, 2019","10,162.5",38
"12 Sep, 2019","10,415.1",39
"13 Sep, 2019","10,342.1",38
"14 Sep, 2019","10,337.3",39
"15 Sep, 2019","10,311.5",38
"16 Sep, 2019","10,255.5",38
"17 Sep, 2019","10,195.7",41
"18 Sep, 2019","10,164.7",38
"19 Sep, 2019","10,250.5",31
"20 Sep, 2019","10,172.7",41
"21 Sep, 2019","9,993.0",37
"22 Sep, 2019","10,031.6",37
"23 Sep, 2019","9,702.2",41
"24 Sep, 2019","8,513.9",39
"25 Sep, 2019","8,432.4",15
"26 Sep, 2019","8,063.8",12
"27 Sep, 2019","8,184.9",24
"28 Sep, 2019","8,208.5",32
"29 Sep, 2019","8,049.1",33
"30 Sep, 2019","8,284.3",27
"1 Oct, 2019","8,302.7",38
"2 Oct, 2019","8,364.1",39
"3 Oct, 2019","8,226.9",37
"4 Oct, 2019","8,148.1",30
"5 Oct, 2019","8,127.3",31
"6 Oct, 2019","7,881.9",32
"7 Oct, 2019","8,198.6",27
"8 Oct, 2019","8,182.9",39
"9 Oct, 2019","8,566.7",37
"10 Oct, 2019","8,562.3",41
"11 Oct, 2019","8,267.8",39
"12 Oct, 2019","8,304.4",38
"13 Oct, 2019","8,281.5",38
"14 Oct, 2019","8,353.3",37
"15 Oct, 2019","8,167.2",39
"16 Oct, 2019","8,000.4",40
"17 Oct, 2019","8,073.3",40
"18 Oct, 2019","7,948.5",40
"19 Oct, 2019","7,957.3",41
"20 Oct, 2019","8,223.4",37
"21 Oct, 2019","8,208.2",37
"22 Oct, 2019","8,031.4",39
"23 Oct, 2019","7,477.0",33
"24 Oct, 2019","7,422.7",20
"25 Oct, 2019","8,658.3",24
"26 Oct, 2019","9,230.6",53
"27 Oct, 2019","9,529.6",50
"28 Oct, 2019","9,207.2",52
"29 Oct, 2019","9,411.3",54
"30 Oct, 2019","9,157.9",53
"31 Oct, 2019","9,152.6",50
"1 Nov, 2019","9,230.1",49
"2 Nov, 2019","9,300.6",51
"3 Nov, 2019","9,198.3",56
"4 Nov, 2019","9,396.4",49
"5 Nov, 2019","9,310.8",54
"6 Nov, 2019","9,338.9",53
"7 Nov, 2019","9,223.5",54
"8 Nov, 2019","8,778.2",42
"9 Nov, 2019","8,804.5",38
"10 Nov, 2019","9,036.8",39
"11 Nov, 2019","8,736.9",40
"12 Nov, 2019","8,812.6",39
"13 Nov, 2019","8,783.1",38
"14 Nov, 2019","8,661.2",41
"15 Nov, 2019","8,476.3",38
"16 Nov, 2019","8,497.3",41
"17 Nov, 2019","8,509.8",38
"18 Nov, 2019","8,208.4",38
"19 Nov, 2019","8,145.7",32
"20 Nov, 2019","8,099.3",32
"21 Nov, 2019","7,627.9",30
"22 Nov, 2019","7,272.5",20
"23 Nov, 2019","7,324.1",23
"24 Nov, 2019","6,924.7",21
"25 Nov, 2019","7,115.6",17
"26 Nov, 2019","7,162.8",21
"27 Nov, 2019","7,510.6",20
"28 Nov, 2019","7,426.7",32
"29 Nov, 2019","7,742.7",31
"30 Nov, 2019","7,546.6",38
"1 Dec, 2019","7,396.4",25
"2 Dec, 2019","7,298.2",28
"3 Dec, 2019","7,291.8",28
"4 Dec, 2019","7,204.4",24
"5 Dec, 2019","7,399.2",21
"6 Dec, 2019","7,530.8",29
"7 Dec, 2019","7,510.9",32
"8 Dec, 2019","7,524.4",28
"9 Dec, 2019","7,355.8",32
"10 Dec, 2019","7,235.7",26
"11 Dec, 2019","7,208.0",20
"12 Dec, 2019","7,208.0",23
"13 Dec, 2019","7,255.2",22
"14 Dec, 2019","7,080.8",27
"15 Dec, 2019","7,128.5",21
"16 Dec, 2019","6,903.5",24
"17 Dec, 2019","6,613.3",23
"18 Dec, 2019","7,276.0",15
"19 Dec, 2019","7,165.5",21
"20 Dec, 2019","7,196.4",23
"21 Dec, 2019","7,156.2",23
"22 Dec, 2019","7,495.8",20
"23 Dec, 2019","7,322.8",33
"24 Dec, 2019","7,268.3",25
"25 Dec, 2019","7,224.8",22
"26 Dec, 2019","7,210.9",39
"27 Dec, 2019","7,261.7",38
"28 Dec, 2019","7,321.5",37
"29 Dec, 2019","7,397.5",37
"30 Dec, 2019","7,261.8",40
"31 Dec, 2019","7,196.4",38
"1 Jan, 2020","7,199.8",37
"2 Jan, 2020","6,967.0",39
"3 Jan, 2020","7,343.1",38
"4 Jan, 2020","7,376.8",38
"5 Jan, 2020","7,372.5",39
"6 Jan, 2020","7,759.1",41
"7 Jan, 2020","8,155.7",40
"8 Jan, 2020","8,059.6",51
"9 Jan, 2020","7,842.4",44
"10 Jan, 2020","8,187.1",41
"11 Jan, 2020","8,024.1",50
"12 Jan, 2020","8,187.6",45
"13 Jan, 2020","8,111.4",49
"14 Jan, 2020","8,829.2",56
"15 Jan, 2020","8,818.3",54
"16 Jan, 2020","8,726.9",55
"17 Jan, 2020","8,913.1",54
"18 Jan, 2020","8,916.3",51
"19 Jan, 2020","8,706.2",53
"20 Jan, 2020","8,641.9",48
"21 Jan, 2020","8,732.6",49
"22 Jan, 2020","8,678.5",52
"23 Jan, 2020","8,405.1",49
"24 Jan, 2020","8,439.9",40
"25 Jan, 2020","8,341.6",41
"26 Jan, 2020","8,607.8",42
"27 Jan, 2020","8,866.6",50
"28 Jan, 2020","9,377.3",54
"29 Jan, 2020","9,298.9",57
"30 Jan, 2020","9,507.3",57
"31 Jan, 2020","9,349.1",55
"1 Feb, 2020","9,381.6",57
"2 Feb, 2020","9,334.9",57
"3 Feb, 2020","9,296.6",59
"4 Feb, 2020","9,193.9",56
"5 Feb, 2020","9,611.8",53
"6 Feb, 2020","9,772.0",61
"7 Feb, 2020","9,818.6",56
"8 Feb, 2020","9,895.5",56
"9 Feb, 2020","10,151.5",56
"10 Feb, 2020","9,854.1",57
"11 Feb, 2020","10,229.5",52
"12 Feb, 2020","10,317.7",61
